individual                    Treefile_name                  Population_optimum             strength_stabilizing_selection ind_fitness                    ind_genetic_value              ind_environmental_value        ind_phenotype                 
0                              harpak_przeworski.trees11      0.0                            1.0                            0.7945867954084691             -1.236217827178063             0.5580835430572472             -0.6781342841208159           
1                              harpak_przeworski.trees11      0.0                            1.0                            0.6845472025412332             -0.7602669382548031            1.63089622500863               0.870629286753827             
2                              harpak_przeworski.trees11      0.0                            1.0                            0.963599763243377              -0.9982423827164331            1.2705629803272556             0.2723205976108225            
3                              harpak_przeworski.trees11      0.0                            1.0                            0.5444049819940365             -0.9982423827164331            2.101022376095311              1.1027799933788778            
4                              harpak_przeworski.trees11      0.0                            1.0                            0.8775880321124344             -1.236217827178063             0.7251835677035555             -0.5110342594745075           
5                              harpak_przeworski.trees11      0.0                            1.0                            0.9283966966995851             -0.7602669382548031            1.145743688903928              0.385476750649125             
6                              harpak_przeworski.trees11      0.0                            1.0                            0.4912149333815534             -0.9982423827164331            2.1906127117467395             1.1923703290303065            
7                              harpak_przeworski.trees11      0.0                            1.0                            0.3038242391511646             -0.5865690082786892            -0.9570021144508158            -1.543571122729505            
8                              harpak_przeworski.trees11      0.0                            1.0                            0.14876945700564562            -0.8245444527403192            -1.127560790176219             -1.9521052429165382           
9                              harpak_przeworski.trees11      0.0                            1.0                            0.25447215319224153            -0.7602669382548031            -0.894159770119024             -1.654426708373827            
10                             harpak_przeworski.trees11      0.0                            1.0                            0.20534443929220383            -0.9982423827164331            -0.7811207157642392            -1.7793630984806723           
11                             harpak_przeworski.trees11      0.0                            1.0                            0.8848034090372525             -0.9982423827164331            0.5034903330364242             -0.49475204968000885          
12                             harpak_przeworski.trees11      0.0                            1.0                            0.1289771253043999             -1.236217827178063             -0.7876992726883287            -2.0239170998663916           
13                             harpak_przeworski.trees11      0.0                            1.0                            0.33183794275328893            -1.236217827178063             -0.2491161780033624            -1.4853340051814254           
14                             harpak_przeworski.trees11      0.0                            1.0                            0.5746325997150431             -0.9982423827164331            -0.05439658618233856           -1.0526389688987716           
